,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,1.0,1.0,4.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,-2.0,0.0,3.0,0.0,-2.0,0.0,-2.0,-1.0,2.0,0.0
BKN,-1.0,0.0,-4.0,2.0,-1.0,-4.0,0.0,-2.0,-3.0,0.0,2.0,-2.0,-2.0,0.0,1.0,-1.0,2.0,-2.0,2.0,-4.0,-2.0,-4.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-1.0
BOS,-1.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,-1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,-2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0
CHA,-4.0,-2.0,-4.0,0.0,-2.0,-4.0,0.0,-2.0,0.0,-2.0,0.0,1.0,-2.0,0.0,-2.0,-2.0,-1.0,-2.0,0.0,-1.0,-2.0,-4.0,-4.0,0.0,-2.0,-2.0,2.0,-1.0,2.0,-4.0
CHI,0.0,1.0,-2.0,2.0,0.0,-4.0,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,0.0,3.0,0.0,-2.0,-2.0,1.0,-2.0,1.0,0.0,-2.0,0.0,0.0,2.0,4.0,0.0,2.0
CLE,-1.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,-2.0,-7.0,0.0,2.0,2.0,5.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,-2.0,2.0,4.0,2.0,4.0
DAL,2.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,-2.0,-2.0,-1.0,-2.0,0.0,-2.0,-1.0,2.0,0.0,2.0,2.0,-2.0,-2.0,2.0,-3.0,2.0,2.0,1.0,2.0
DEN,2.0,2.0,-2.0,2.0,-2.0,-2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,-4.0,2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,4.0,-1.0,2.0,4.0,-2.0
DET,2.0,3.0,-2.0,0.0,2.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,2.0,-2.0,2.0,-4.0,0.0,2.0,0.0,-2.0,-1.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0
GSW,0.0,0.0,0.0,2.0,2.0,-2.0,0.0,-1.0,2.0,0.0,2.0,-2.0,-4.0,-2.0,2.0,-2.0,2.0,-1.0,4.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,-1.0,0.0,1.0,2.0
HOU,2.0,-2.0,0.0,0.0,2.0,2.0,2.0,-1.0,0.0,-2.0,0.0,0.0,2.0,-1.0,2.0,0.0,0.0,0.0,4.0,0.0,-1.0,2.0,2.0,3.0,1.0,-3.0,2.0,2.0,1.0,2.0
IND,-1.0,2.0,1.0,-1.0,2.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0,2.0,1.0,4.0,-2.0,-2.0,2.0,2.0,0.0,2.0,0.0,-1.0,2.0,4.0
LAC,2.0,2.0,-2.0,2.0,0.0,0.0,2.0,-1.0,0.0,4.0,-2.0,-2.0,0.0,-2.0,3.0,2.0,0.0,-3.0,1.0,2.0,-4.0,2.0,2.0,-4.0,1.0,4.0,2.0,0.0,4.0,2.0
LAL,0.0,0.0,0.0,0.0,-2.0,-2.0,1.0,0.0,-2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,-2.0,-3.0,3.0,2.0,-1.0,-2.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0
MEM,0.0,-1.0,0.0,2.0,0.0,-2.0,2.0,-1.0,2.0,-2.0,-2.0,0.0,-3.0,-2.0,0.0,2.0,2.0,1.0,4.0,-2.0,-8.0,2.0,2.0,4.0,1.0,-1.0,2.0,2.0,4.0,2.0
MIA,0.0,1.0,-2.0,2.0,-3.0,-5.0,0.0,-2.0,-2.0,2.0,0.0,0.0,-2.0,0.0,-2.0,0.0,-4.0,0.0,2.0,-3.0,-2.0,0.0,4.0,0.0,0.0,-2.0,2.0,2.0,0.0,2.0
MIL,-1.0,-2.0,-3.0,1.0,0.0,-4.0,2.0,0.0,4.0,-2.0,0.0,-1.0,0.0,2.0,-2.0,4.0,0.0,2.0,2.0,-3.0,-2.0,2.0,4.0,0.0,-2.0,2.0,0.0,3.0,2.0,3.0
MIN,0.0,2.0,-2.0,2.0,2.0,-2.0,1.0,4.0,0.0,1.0,0.0,-2.0,3.0,3.0,-1.0,0.0,-2.0,0.0,1.0,0.0,-7.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0
NOP,-2.0,-2.0,-2.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,-1.0,-1.0,-3.0,-4.0,-2.0,-2.0,-1.0,0.0,-2.0,-4.0,-2.0,2.0,1.0,-2.0,-2.0,0.0,-2.0,3.0,2.0
NYK,1.0,4.0,0.0,1.0,-1.0,-4.0,0.0,2.0,0.0,-2.0,0.0,-4.0,-2.0,-2.0,2.0,3.0,3.0,0.0,2.0,0.0,-2.0,2.0,4.0,2.0,2.0,2.0,0.0,4.0,0.0,4.0
OKC,2.0,2.0,2.0,2.0,2.0,0.0,-2.0,2.0,2.0,-1.0,1.0,2.0,4.0,1.0,8.0,2.0,2.0,7.0,4.0,2.0,0.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0
ORL,0.0,4.0,-2.0,4.0,-1.0,-1.0,-2.0,-2.0,1.0,-2.0,-2.0,2.0,-2.0,2.0,-2.0,0.0,-2.0,-2.0,2.0,-2.0,-2.0,0.0,2.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,4.0
PHI,-3.0,0.0,-2.0,4.0,0.0,-1.0,2.0,-2.0,-1.0,0.0,-2.0,-2.0,-2.0,0.0,-2.0,-4.0,-4.0,-2.0,-2.0,-4.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,-4.0,2.0,1.0
PHX,0.0,0.0,-2.0,0.0,2.0,0.0,2.0,-2.0,0.0,0.0,-3.0,-2.0,4.0,0.0,-4.0,0.0,0.0,-4.0,-1.0,-2.0,-3.0,-2.0,2.0,0.0,0.0,-2.0,1.0,0.0,4.0,2.0
POR,2.0,0.0,-2.0,2.0,0.0,-2.0,-2.0,0.0,-2.0,-3.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,2.0,0.0,2.0,-2.0,-4.0,2.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0
SAC,0.0,0.0,0.0,2.0,0.0,2.0,3.0,-4.0,0.0,0.0,3.0,-2.0,-4.0,-4.0,1.0,2.0,-2.0,0.0,2.0,-2.0,-3.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0
SAS,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,1.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,0.0,0.0,-1.0,-2.0,0.0,-1.0,2.0,0.0,0.0,2.0,2.0,2.0
TOR,1.0,2.0,-2.0,1.0,-4.0,-4.0,-2.0,-2.0,-4.0,0.0,-2.0,1.0,0.0,-2.0,-2.0,-2.0,-3.0,0.0,2.0,-4.0,-2.0,2.0,4.0,0.0,-2.0,0.0,-2.0,0.0,2.0,2.0
UTA,-2.0,2.0,-2.0,-2.0,0.0,-2.0,-1.0,-4.0,0.0,-1.0,-1.0,-2.0,-4.0,-2.0,-4.0,0.0,-2.0,-2.0,-3.0,0.0,-4.0,2.0,-2.0,-4.0,0.0,-4.0,-2.0,-2.0,0.0,0.0
WAS,0.0,1.0,-4.0,4.0,-2.0,-4.0,-2.0,2.0,-1.0,-2.0,-2.0,-4.0,-2.0,-2.0,-2.0,-2.0,-3.0,0.0,-2.0,-4.0,-2.0,-4.0,-1.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,0.0
