Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
Luka Doncic,PG,PG,24,70.0,37.5,92.7,100.0,100.0,95.81,96.97,43031940,2.25
Nikola Jokic,C,C,28,79.0,34.6,95.16,100.0,97.47,81.46,94.21,51415938,1.83
Giannis Antetokounmpo,PF,PF,29,73.0,35.2,99.24,100.0,89.26,85.23,94.13,48787676,1.93
Shai Gilgeous-Alexander,PG,PG,25,75.0,34.0,100.0,93.26,88.58,89.14,93.29,35859950,2.6
Anthony Davis,C,C,30,76.0,35.5,93.12,100.0,84.49,86.66,91.39,43219440,2.11
Domantas Sabonis,C,C,27,82.0,35.7,74.4,100.0,94.2,100.0,90.87,40500000,2.24
Jayson Tatum,PF,PF,25,74.0,35.7,85.09,96.18,85.55,96.01,90.16,34848340,2.59
LeBron James,PF,PF,39,71.0,35.3,83.81,99.42,91.96,78.56,88.7,48728845,1.82
Kevin Durant,PF,PF,35,75.0,37.2,88.02,96.8,84.44,82.77,88.27,51179021,1.72
Joel Embiid,C,C,29,39.0,33.6,100.0,100.0,83.91,58.62,87.7,51415938,1.71
Jarrett Allen,C,C,25,77.0,31.700000000000003,86.59,100.0,75.98,86.63,87.3,20000000,4.36
Kawhi Leonard,SF,SF,32,68.0,34.3,89.65,96.18,81.95,69.43,85.31,49205800,1.73
Bam Adebayo,C,C,26,71.0,34.0,73.94,100.0,80.43,85.63,84.42,34848340,2.42
Donovan Mitchell,SG,SG,27,55.0,35.3,81.36,81.54,87.82,84.36,83.62,35410310,2.36
De'Aaron Fox,PG,PG,26,74.0,35.9,78.05,73.99,88.21,96.15,83.2,34848340,2.39
Anthony Edwards,SG,SG,22,79.0,35.1,77.52,79.23,83.23,93.08,82.49,42176400,1.96
Miles Bridges,SF,SF,25,69.0,37.4,70.49,86.47,84.08,93.36,82.46,27173913,3.03
DeMar DeRozan,SF,SF,34,79.0,37.8,86.1,66.59,91.29,85.49,82.4,23400000,3.52
Rudy Gobert,C,C,31,76.0,34.1,77.93,100.0,72.08,77.88,81.98,43827586,1.87
Scottie Barnes,SG,SG,22,60.0,34.9,66.28,100.0,87.83,74.92,81.83,10130980,8.08
Kyrie Irving,SG,SG,31,58.0,35.0,87.61,72.91,88.02,75.7,81.66,41000000,1.99
Lauri Markkanen,PF,PF,26,55.0,33.1,87.82,82.0,78.22,76.27,81.66,42176400,1.94
Dejounte Murray,SG,SG,27,78.0,35.7,69.26,74.61,89.6,97.94,81.42,29517135,2.76
Jalen Brunson,PG,PG,27,77.0,35.4,88.59,49.79,91.31,97.73,81.4,24960001,3.26
Deandre Ayton,C,C,25,55.0,32.4,76.05,100.0,73.99,75.07,81.33,34005126,2.39
Devin Booker,PG,PG,27,68.0,36.0,88.94,50.56,91.69,92.68,80.78,49205800,1.64
