Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score,Weighted_Score
Scottie Barnes,SG,SG,22,60.0,34.9,66.28,100.0,87.83,74.92,81.83,10130980,8.08,83.0795
Paolo Banchero,PF,PF,21,80.0,35.0,67.05,83.08,83.55,93.41,80.45,12160800,6.62,79.938
Alperen Sengun,C,C,21,63.0,32.5,75.66,84.32,82.52,75.04,79.42,5424654,14.64,79.88
Evan Mobley,PF,PF,22,50.0,30.6,75.52,100.0,74.02,66.06,79.37,11227657,7.07,81.07000000000001
Jalen Johnson,SF,SF,22,56.0,33.7,67.21,100.0,79.16,70.26,79.01,4510905,17.52,80.492
Jalen Williams,PF,PF,22,71.0,31.300000000000004,80.92,59.96,79.14,78.26,74.7,4775760,15.64,73.788
Ivica Zubac,C,C,26,68.0,26.4,79.62,81.39,63.97,70.44,74.31,11743210,6.33,74.8615
Derrick White,SG,SG,29,73.0,32.6,65.19,72.29,83.24,74.95,73.43,20071429,3.66,73.29650000000001
Nick Richards,C,C,26,67.0,26.3,79.62,73.99,58.73,65.97,70.26,5000000,14.05,70.661
Tyus Jones,PG,PG,27,66.0,29.3,60.31,58.11,87.15,71.82,68.77,2087519,32.94,68.0865
Javonte Green,SF,SF,30,9.0,25.6,80.64,84.32,63.4,25.35,66.19,2328350,28.43,69.14049999999999
Mike Conley,PG,PG,36,76.0,28.9,57.66,50.4,80.04,61.34,62.18,9975962,6.23,61.629
