Segment,GameTime,Lineup,Total_OVR,Team_Style,Opponent_Style
Start,0,"Tyus Jones, Scottie Barnes, Jalen Johnson, Jalen Williams, Alperen Sengun",330.531,均衡型,均衡型
Seg2,3,"Mike Conley, Scottie Barnes, Jalen Johnson, Evan Mobley, Ivica Zubac",388.22098000000005,防守型,进攻型
Seg3,6,"Tyus Jones, Derrick White, Javonte Green, Paolo Banchero, Alperen Sengun",307.37917500000003,均衡型,均衡型
Seg4,9,"Tyus Jones, Scottie Barnes, Jalen Johnson, Evan Mobley, Alperen Sengun",375.77582,防守型,进攻型
Seg5,12,"Tyus Jones, Scottie Barnes, Jalen Johnson, Evan Mobley, Alperen Sengun",417.58864,防守型,进攻型
Seg6,15,"Mike Conley, Derrick White, Javonte Green, Paolo Banchero, Ivica Zubac",310.79200000000003,均衡型,均衡型
Seg7,18,"Tyus Jones, Scottie Barnes, Jalen Johnson, Evan Mobley, Alperen Sengun",375.82462400000003,防守型,进攻型
Seg8,21,"Tyus Jones, Scottie Barnes, Jalen Johnson, Evan Mobley, Alperen Sengun",375.76347200000004,防守型,进攻型
Seg9,24,"Tyus Jones, Scottie Barnes, Jalen Johnson, Jalen Williams, Alperen Sengun",330.531,均衡型,均衡型
Seg10,27,"Mike Conley, Derrick White, Javonte Green, Evan Mobley, Nick Richards",312.49649999999997,均衡型,均衡型
Seg11,30,"Tyus Jones, Scottie Barnes, Jalen Johnson, Evan Mobley, Ivica Zubac",379.1937520000001,防守型,进攻型
Seg12,33,"Tyus Jones, Scottie Barnes, Jalen Johnson, Evan Mobley, Alperen Sengun",436.16904500000004,防守型,极端进攻型
Seg13,36,"Tyus Jones, Scottie Barnes, Jalen Johnson, Jalen Williams, Alperen Sengun",330.531,均衡型,均衡型
Seg14,39,"Mike Conley, Derrick White, Javonte Green, Evan Mobley, Nick Richards",312.49649999999997,均衡型,均衡型
Seg15,42,"Tyus Jones, Derrick White, Jalen Johnson, Paolo Banchero, Ivica Zubac",301.3124125,均衡型,均衡型
Seg16,45,"Tyus Jones, Scottie Barnes, Jalen Johnson, Evan Mobley, Alperen Sengun",375.8005160000001,防守型,进攻型
